dayn,dayte,Animal,nFertilized,nEggs,whorln,wpf,wpfnev,wpfn,pFert,forlthree,,tIso,condition,number,fertMass,noFertMass,totMass,pMassFert
124,22-Feb,E4,1,195,3,8,8,8 wpf,0.51,,,4,Fertilized,,0,17,17,0
,,,,,,8,8,8 wpf,0,,,6,Fertilized,,0,20,20,0
,,,,,,8,8,8 wpf,0,,,8,Fertilized,1,1,12,13,7.69
,,,,,,8,8,8 wpf,0,,,10,Fertilized,8,7,1,8,87.5
,,,,,,8,8,8 wpf,0,,,12,Fertilized,15,15,0,15,100
,,,,,,8,8,8 wpf,0,,,Never,Fertilized,18,17,0,17,100
,,,,,,8,8,8 wpf,0,,,4,Not Fertilized,20,,,,
,,,,,,8,8,8 wpf,0,,,6,Not Fertilized,22,,,,
,,,,,,8,8,8 wpf,0,,,8,Not Fertilized,14,,,,
,,,,,,8,8,8 wpf,0,,,10,Not Fertilized,2,,,,
,,,,,,8,8,8 wpf,0,,,12,Not Fertilized,,,,,
,,,,,,8,8,8 wpf,0,,,Never,Not Fertilized,,,,,
,,,,,,8,8,8 wpf,0,,,,,,,,,
,,,,,,8,8,8 wpf,0,,,,,,,,,
,,,,,,8,8,8 wpf,0,,,,,,,,,
128,26-Feb,F1,125,340,1,10,10,10 wpf,36.8,1,,,,,,,,
129,27-Feb,F1,80,178,2,10,10,10 wpf,44.9,1,,,,,,,,
135,5-Mar,F1,45,214,3,10,10,10 wpf,21,2,,,,,,,,
140,10-Mar,F1,0,,4,10,10,10 wpf,0,2,,,,,,,,
119,17-Feb,F2,0,,,10,10,10 wpf,0,,,,,,,,,
113,11-Feb,F3,26,55,1,10,10,10 wpf,47.3,1,,,,,,,,
123,21-Feb,F3,102,173,2,10,10,10 wpf,59,,,,,,,,,
135,5-Mar,F3,20,233,3,10,10,10 wpf,8.6,2,,,,,,,,
139,9-Mar,F3,2,143,4,10,10,10 wpf,1.4,,,,,,,,,
119,17-Feb,F5,2,193,,10,10,10 wpf,1,,,,,,,,,
108,6-Feb,G1,2,27,1,12,12,12 wpf,7.4,1,,,,,,,,
112,10-Feb,G1,76,149,2,12,12,12 wpf,51,1,,,,,,,,
117,15-Feb,G1,79,210,3,12,12,12 wpf,37.6,,,,,,,,,
123,21-Feb,G1,96,163,4,12,12,12 wpf,58.9,,,,,,,,,
127,25-Feb,G1,44,139,5,12,12,12 wpf,31.7,,,,,,,,,
131,1-Mar,G1,83,184,6,12,12,12 wpf,45.1,2,,,,,,,,
135,5-Mar,G1,143,176,7,12,12,12 wpf,81.3,2,,,,,,,,
112,10-Feb,G3,24,91,1,12,12,12 wpf,26.4,1,,,,,,,,
115,13-Feb,G3,17,180,2,12,12,12 wpf,9.4,1,,,,,,,,
119,17-Feb,G3,45,149,3,12,12,12 wpf,30.2,,,,,,,,,
123,21-Feb,G3,78,185,4,12,12,12 wpf,42.2,,,,,,,,,
127,25-Feb,G3,93,215,5,12,12,12 wpf,43.3,,,,,,,,,
130,28-Feb,G3,12,175,6,12,12,12 wpf,6.9,,,,,,,,,
134,4-Mar,G3,110,190,7,12,12,12 wpf,57.9,2,,,,,,,,
138,8-Mar,G3,145,215,8,12,12,12 wpf,67.4,2,,,,,,,,
114,12-Feb,P1,111,131,1,14,Never,>16 wpf,84.7,1,,,,,,,,
120,18-Feb,P1,294,306,1,14,Never,>16 wpf,96.1,1,,,,,,,,
123,21-Feb,P1,270,294,2,14,Never,>16 wpf,91.8,1,,,,,,,,
126,24-Feb,P1,204,357,2,14,Never,>16 wpf,57.1,,,,,,,,,
130,28-Feb,P1,331,488,3,14,Never,>16 wpf,67.8,2,,,,,,,,
135,5-Mar,P1,417,434,3,14,Never,>16 wpf,96.1,2,,,,,,,,
139,9-Mar,P1,227,245,4,14,Never,>16 wpf,92.7,2,,,,,,,,
124,22-Feb,P6,47,56,1,14,Never,>16 wpf,83.9,1,,,,,,,,
126,24-Feb,P6,162,191,1,14,Never,>16 wpf,84.8,1,,,,,,,,
126,24-Feb,P6,81,199,2,14,Never,>16 wpf,40.7,1,,,,,,,,
130,28-Feb,P6,192,206,2,14,Never,>16 wpf,93.2,1,,,,,,,,
130,28-Feb,P6,79,221,3,14,Never,>16 wpf,35.7,,,,,,,,,
135,5-Mar,P6,98,122,3,14,Never,>16 wpf,80.3,,,,,,,,,
135,5-Mar,P6,45,119,4,14,Never,>16 wpf,37.8,,,,,,,,,
137,7-Mar,P6,149,187,4,14,Never,>16 wpf,79.7,2,,,,,,,,
138,8-Mar,P6,183,200,5,14,Never,>16 wpf,91.5,2,,,,,,,,
142,12-Mar,P6,259,279,6,14,Never,>16 wpf,92.8,2,,,,,,,,
143,13-Mar,P6,288,296,7,14,Never,>16 wpf,97.3,2,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,6,6,6 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
,,,,,,4,4,4 wpf,0,,,,,,,,,
